"id";"VillageId";"BlockId";"DistrictId";"VillageName";"plots";"phase"
"178";"178";"68";"12";"Ruan";NULL;NULL
"179";"179";"68";"12";"Sainsa";NULL;NULL
"180";"180";"68";"12";"Saraswati Khera Colony";NULL;NULL
"181";"181";"27";"12";"ANTEHRI";NULL;NULL
"182";"182";"27";"12";"DHERPUR";NULL;NULL
"183";"183";"27";"12";"GADLI";"90";"2"
"184";"184";"27";"12";"KANIPALA";NULL;NULL
"185";"185";"27";"12";"MATHANA";"200";"2"
"186";"186";"27";"12";"PALWAL";NULL;NULL
"187";"187";"27";"12";"RATTAN DERA";NULL;NULL
"188";"188";"27";"12";"SANWLA";NULL;NULL
"189";"189";"27";"12";"SARAI SUKHI";"124";"3"
"190";"190";"27";"12";"UMRI";NULL;NULL
"191";"191";"27";"12";"UNTSAL+Bangro";NULL;NULL
"192";"192";"69";"12";"Atwan";"79";"2"
"193";"193";"69";"12";"Baram";"97";"2"
"194";"194";"69";"12";"Chanarthal";NULL;NULL
"195";"195";"69";"12";"Charuni Jattan";"106";"2"
"196";"196";"69";"12";"Sambhalkhi";"81";"2"
"197";"197";"69";"12";"Tangori";NULL;NULL
"198";"198";"70";"12";"Adhon";"126";"2"
"199";"199";"70";"12";"Ajrana Kalan";"151";"3"
"200";"200";"70";"12";"Alampur";NULL;NULL
"201";"201";"70";"12";"Bahri";"163";"2"
"202";"202";"70";"12";"Barna";"128";"2"
"203";"203";"70";"12";"Barwa";NULL;NULL
"204";"204";"70";"12";"Dayal pur";NULL;NULL
"205";"205";"70";"12";"Fattupur";"150";"2"
"206";"206";"70";"12";"Ghamur kheri";NULL;NULL
"207";"207";"70";"12";"Jogna khera";"95";"3"
"208";"208";"70";"12";"Kanwar kheri";"130";"2"
"209";"209";"70";"12";"Samaspur";NULL;NULL
"210";"210";"31";"2";"TAJPUR";NULL;NULL
"211";"211";"34";"3";"SHEKHPUR";"113";"3"
"212";"212";"58";"5";"Atta";NULL;NULL
"213";"213";"58";"5";"Basai";NULL;NULL
"214";"214";"58";"5";"Bhirawati";NULL;NULL
"215";"215";"58";"5";"Gangoli";NULL;NULL
"216";"216";"58";"5";"Indri";NULL;NULL
"217";"217";"58";"5";"Jai Singh Pur";NULL;NULL
"218";"218";"58";"5";"Kanwarsika";NULL;NULL
"219";"219";"58";"5";"Kurthala";"100";"2"
"220";"220";"58";"5";"Kutubgarh";NULL;NULL
"221";"221";"58";"5";"Mahrola";NULL;NULL
"222";"222";"58";"5";"Rewasan";NULL;NULL
"223";"223";"58";"5";"Sudaka";NULL;NULL
"224";"224";"58";"5";"Uleta";NULL;NULL
"225";"225";"59";"5";"Aklimpur Firozpur(Saral)";NULL;NULL
"226";"226";"59";"5";"Balai";"150";"2"
"227";"227";"59";"5";"Ghagas";"161";"2"
"228";"228";"59";"5";"Ghagas (Shahpur)";NULL;NULL
"229";"229";"59";"5";"Gohana";NULL;NULL
"230";"230";"59";"5";"Hasanpur- Nuh";"98";"2"
"231";"231";"59";"5";"Jalalpur- Nuh";NULL;NULL
"232";"232";"59";"5";"Kansali";NULL;NULL
"233";"233";"59";"5";"Kherli-Nuh";NULL;NULL
"234";"234";"59";"5";"Nangal-Mubarikpur";NULL;NULL
"235";"235";"29";"5";"ADBAR";NULL;NULL
"236";"236";"29";"5";"AKERA";"326";"3"
"237";"237";"29";"5";"ALAWAL PUR";"90";"3"
"238";"238";"29";"5";"BAI";NULL;NULL
