PropertyAuctionId,BranchId,DistrictId,CityId,SectorId,AssetId,FlatCost,ReceivedAmount,BalanceAmount,PurchaserID,IsActive,IsDeleted,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,CompanyId
379469,3208,294,3264,682,161538,100000,20000,80000,179002,1,0,,1,,,544
367426,3208,294,3264,689,149495,100000,20000,80000,166959,1,0,,1,,,544
371143,3205,291,3252,692,153212,100000,20000,80000,170676,1,0,,1,,,544
373115,3205,291,3252,686,155184,100000,20000,80000,172648,1,0,,1,,,544
380630,3202,288,3238,683,162699,100000,20000,80000,180163,1,0,,1,,,544
370207,3212,298,3276,704,152276,100000,20000,80000,169740,1,0,,1,,,544
373912,3212,298,3276,695,155981,100000,20000,80000,173445,1,0,,1,,,544
367667,3205,291,3252,688,149736,100000,20000,80000,167200,1,0,,1,,,544
368462,3206,292,3257,694,150531,100000,20000,80000,167995,1,0,,1,,,544
375187,3212,298,3276,691,157256,100000,20000,80000,174720,1,0,,1,,,544
369666,3205,291,3252,696,151735,100000,30000,70000,169199,1,0,,1,,,544
368394,3212,298,3276,691,150463,100000,20000,80000,167927,1,0,,1,,,544
376191,3205,291,3252,686,158260,100000,20000,80000,175724,1,0,,1,,,544
379224,3207,293,3259,692,161293,100000,20000,80000,178757,1,0,,1,,,544
367198,3194,280,3200,693,149267,100000,10000,90000,166731,1,0,,1,,,544
374886,3205,291,3252,682,156955,100000,20000,80000,174419,1,0,,1,,,544
372343,3199,285,3221,690,154412,100000,20000,80000,171876,1,0,,1,,,544
375986,3197,283,3215,696,158055,100000,20000,80000,175519,1,0,,1,,,544
368852,3208,294,3264,696,150921,100000,20000,80000,168385,1,0,,1,,,544
370674,3194,280,3200,683,152743,100000,20000,80000,170207,1,0,,1,,,544
371593,3212,298,3276,711,153662,100000,20000,80000,171126,1,0,,1,,,544
379212,3205,291,3252,700,161281,100000,10000,90000,178745,1,0,,1,,,544
376941,3205,291,3252,700,159010,100000,20000,80000,176474,1,0,,1,,,544
374232,3212,298,3276,697,156301,100000,20000,80000,173765,1,0,,1,,,544
365608,3194,280,3200,697,147677,100000,20000,80000,165141,1,0,,1,,,544
369770,3205,291,3252,686,151839,100000,20000,80000,169303,1,0,,1,,,544
370724,3200,286,3229,685,152793,100000,20000,80000,170257,1,0,,1,,,544
366812,3213,299,3279,693,148881,100000,10000,90000,166345,1,0,,1,,,544
370557,3200,286,3230,686,152626,100000,20000,80000,170090,1,0,,1,,,544
373497,3201,287,3233,688,155566,100000,20000,80000,173030,1,0,,1,,,544
373696,3212,298,3276,706,155765,100000,20000,80000,173229,1,0,,1,,,544
374668,3205,291,3252,684,156737,100000,20000,80000,174201,1,0,,1,,,544
367813,3201,287,3233,805,149882,100000,20000,80000,167346,1,0,,1,,,544
365641,3202,288,3238,686,147710,100000,20000,80000,165174,1,0,,1,,,544
366612,3194,280,3200,697,148681,100000,10000,90000,166145,1,0,,1,,,544
376958,3208,294,3264,695,159027,100000,20000,80000,176491,1,0,,1,,,544
379762,3213,299,3279,694,161831,100000,20000,80000,179295,1,0,,1,,,544
379562,3212,298,3276,710,161631,100000,20000,80000,179095,1,0,,1,,,544
373050,3208,294,3264,685,155119,100000,20000,80000,172583,1,0,,1,,,544
367527,3194,280,3200,702,149596,100000,20000,80000,167060,1,0,,1,,,544
373000,3197,283,3215,696,155069,100000,20000,80000,172533,1,0,,1,,,544
366816,3208,294,3264,689,148885,100000,20000,80000,166349,1,0,,1,,,544
372307,3200,286,3230,681,154376,100000,10000,90000,171840,1,0,,1,,,544
368531,3206,292,3257,690,150600,100000,10000,90000,168064,1,0,,1,,,544
371003,3199,285,3221,703,153072,100000,20000,80000,170536,1,0,,1,,,544
379434,3205,291,3252,686,161503,100000,20000,80000,178967,1,0,,1,,,544
372968,3205,291,3252,697,155037,100000,20000,80000,172501,1,0,,1,,,544
368656,3205,291,3252,688,150725,100000,20000,80000,168189,1,0,,1,,,544
369424,3194,280,3200,688,151493,100000,20000,80000,168957,1,0,,1,,,544
367159,3207,293,3259,683,149228,100000,20000,80000,166692,1,0,,1,,,544
370942,3208,294,3264,704,153011,100000,20000,80000,170475,1,0,,1,,,544
368631,3199,285,3221,682,150700,100000,20000,80000,168164,1,0,,1,,,544
365494,3205,291,3252,683,147563,100000,20000,80000,165027,1,0,,1,,,544
366859,3205,291,3252,690,148928,100000,20000,80000,166392,1,0,,1,,,544
369617,3194,280,3200,1047,151686,100000,20000,80000,169150,1,0,,1,,,544
376258,3194,280,3200,685,158327,100000,10000,90000,175791,1,0,,1,,,544
369674,3192,278,3193,944,151743,100000,20000,80000,169207,1,0,,1,,,544
373107,3208,294,3264,685,155176,100000,20000,80000,172640,1,0,,1,,,544
366873,3194,280,3200,690,148942,100000,10000,90000,166406,1,0,,1,,,544
376183,3205,291,3252,681,158252,100000,20000,80000,175716,1,0,,1,,,544
