AssociationId,BranchId,CityId,SectorId,Is_Active,Is_Deleted,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,CompanyId
8609,3194,3198,695,1,0,9/13/2024,,,,544
8610,3194,3198,697,1,0,9/13/2024,,,,544
8611,3194,3198,701,1,0,9/13/2024,,,,544
8612,3194,3199,681,1,0,9/13/2024,,,,544
8613,3194,3199,682,1,0,9/13/2024,,,,544
8614,3194,3199,683,1,0,9/13/2024,,,,544
8615,3194,3199,684,1,0,9/13/2024,,,,544
8616,3194,3199,685,1,0,9/13/2024,,,,544
8617,3194,3199,686,1,0,9/13/2024,,,,544
8618,3194,3199,687,1,0,9/13/2024,,,,544
8619,3194,3199,688,1,0,9/13/2024,,,,544
8620,3194,3199,689,1,0,9/13/2024,,,,544
8621,3194,3199,690,1,0,9/13/2024,,,,544
8622,3194,3199,691,1,0,9/13/2024,,,,544
8623,3194,3199,692,1,0,9/13/2024,,,,544
8624,3194,3199,693,1,0,9/13/2024,,,,544
8625,3194,3199,694,1,0,9/13/2024,,,,544
8626,3194,3199,695,1,0,9/13/2024,,,,544
8627,3194,3199,696,1,0,9/13/2024,,,,544
8628,3194,3199,697,1,0,9/13/2024,,,,544
8629,3194,3199,698,1,0,9/13/2024,,,,544
8630,3194,3199,699,1,0,9/13/2024,,,,544
8631,3194,3199,700,1,0,9/13/2024,,,,544
8632,3194,3199,987,1,0,9/13/2024,,,,544
8633,3194,3200,681,1,0,9/13/2024,,,,544
8634,3194,3200,682,1,0,9/13/2024,,,,544
8635,3194,3200,683,1,0,9/13/2024,,,,544
8636,3194,3200,684,1,0,9/13/2024,,,,544
8637,3194,3200,685,1,0,9/13/2024,,,,544
8638,3194,3200,686,1,0,9/13/2024,,,,544
8639,3194,3200,687,1,0,9/13/2024,,,,544
8640,3194,3200,688,1,0,9/13/2024,,,,544
8641,3194,3200,689,1,0,9/13/2024,,,,544
8642,3194,3200,690,1,0,9/13/2024,,,,544
8643,3194,3200,691,1,0,9/13/2024,,,,544
8644,3194,3200,692,1,0,9/13/2024,,,,544
8645,3194,3200,693,1,0,9/13/2024,,,,544
8646,3194,3200,694,1,0,9/13/2024,,,,544
8647,3194,3200,695,1,0,9/13/2024,,,,544
8648,3194,3200,696,1,0,9/13/2024,,,,544
8649,3194,3200,697,1,0,9/13/2024,,,,544
8650,3194,3200,698,1,0,9/13/2024,,,,544
8651,3194,3200,699,1,0,9/13/2024,,,,544
8652,3194,3200,700,1,0,9/13/2024,,,,544
8653,3194,3200,701,1,0,9/13/2024,,,,544
8654,3194,3200,702,1,0,9/13/2024,,,,544
8655,3194,3200,703,1,0,9/13/2024,,,,544
8656,3194,3200,704,1,0,9/13/2024,,,,544
8657,3194,3200,705,1,0,9/13/2024,,,,544
8658,3194,3200,706,1,0,9/13/2024,,,,544
8659,3194,3200,707,1,0,9/13/2024,,,,544
8660,3194,3200,708,1,0,9/13/2024,,,,544
8661,3194,3200,709,1,0,9/13/2024,,,,544
8662,3194,3200,710,1,0,9/13/2024,,,,544
8663,3194,3200,711,1,0,9/13/2024,,,,544
8664,3194,3200,721,1,0,9/13/2024,,,,544
8665,3194,3200,878,1,0,9/13/2024,,,,544
8666,3194,3200,903,1,0,9/13/2024,,,,544
8667,3194,3200,1000,1,0,9/13/2024,,,,544
8668,3194,3200,1010,1,0,9/13/2024,,,,544
8669,3194,3200,1011,1,0,9/13/2024,,,,544
8670,3194,3200,1012,1,0,9/13/2024,,,,544
8671,3194,3200,1013,1,0,9/13/2024,,,,544
8672,3194,3200,1014,1,0,9/13/2024,,,,544
8673,3194,3200,1015,1,0,9/13/2024,,,,544
8674,3194,3200,1016,1,0,9/13/2024,,,,544
8675,3194,3200,1017,1,0,9/13/2024,,,,544
8676,3194,3200,1018,1,0,9/13/2024,,,,544
8677,3194,3200,1019,1,0,9/13/2024,,,,544
8678,3194,3200,1020,1,0,9/13/2024,,,,544
8679,3194,3200,1021,1,0,9/13/2024,,,,544
8680,3194,3200,1023,1,0,9/13/2024,,,,544
8681,3194,3200,1024,1,0,9/13/2024,,,,544
8682,3194,3200,1027,1,0,9/13/2024,,,,544
8683,3194,3200,1030,1,0,9/13/2024,,,,544
8684,3194,3200,1031,1,0,9/13/2024,,,,544
8685,3194,3200,1035,1,0,9/13/2024,,,,544
8686,3194,3200,1037,1,0,9/13/2024,,,,544
8687,3194,3200,1040,1,0,9/13/2024,,,,544
8688,3194,3200,1041,1,0,9/13/2024,,,,544
8689,3194,3200,1043,1,0,9/13/2024,,,,544
8690,3194,3200,1044,1,0,9/13/2024,,,,544
8691,3194,3200,1045,1,0,9/13/2024,,,,544
