id,asset_number,total_paid_amount,receipt_number,BranchId,DistrictId,CityId,SectorId,IsActive,IsDeleted,created_date,CreatedBy,ModifiedDate,ModifiedBy,CompanyId
666250,157412,2222,4.40023E+12,3205,291,3252,690,1,0,20-10-2024,,,,544
666817,150024,2222,4.40023E+12,3213,299,3279,694,1,0,20-10-2024,,,,544
666836,149609,2222,2.20023E+12,3208,294,3264,689,1,0,20-10-2024,,,,544
666839,150862,2222,2.20023E+12,3208,294,3264,692,1,0,20-10-2024,,,,544
666863,154621,2222,2.20023E+12,3194,280,3200,685,1,0,20-10-2024,,,,544
666873,148005,2222,2.20023E+12,3194,280,3200,687,1,0,20-10-2024,,,,544
666898,154789,2222,4.40023E+12,3206,292,3257,686,1,0,21-10-2024,,,,544
697821,159150,2222,2.20023E+12,3202,288,3238,701,1,0,25-10-2024,,,,544
605943,157746,2222,2.20022E+12,3194,280,3200,685,1,0,14-10-2024,,,,544
605956,160154,2222,2.20022E+12,3194,280,3200,683,1,0,14-10-2024,,,,544
606624,159084,10000,4.40022E+12,3202,288,3238,704,1,0,14-10-2024,,,,544
606890,152800,2222,4.40022E+12,3205,291,3252,698,1,0,14-10-2024,,,,544
606892,157646,2222,4.40022E+12,3208,294,3264,694,1,0,14-10-2024,,,,544
607389,150260,2222,4.40022E+12,3213,299,3279,697,1,0,14-10-2024,,,,544
607489,157229,10000,4.40022E+12,3205,291,3252,692,1,0,14-10-2024,,,,544
607631,152281,2222,4.40022E+12,3194,280,3200,1053,1,0,14-10-2024,,,,544
607829,158782,2222,4.40022E+12,3205,291,3252,694,1,0,14-10-2024,,,,544
608138,154238,2222,4.40022E+12,3208,294,3264,684,1,0,14-10-2024,,,,544
608592,153938,2222,2.20022E+12,3202,288,3238,687,1,0,14-10-2024,,,,544
608598,150228,2222,4.40022E+12,3205,291,3252,702,1,0,14-10-2024,,,,544
608725,156793,2222,2.20022E+12,3205,291,3252,690,1,0,14-10-2024,,,,544
608824,151798,2500,4.40022E+12,3205,291,3252,697,1,0,14-10-2024,,,,544
608956,162611,2222,4.40022E+12,3202,288,3238,698,1,0,14-10-2024,,,,544
608958,156210,2222,2.20022E+12,3213,299,3279,695,1,0,14-10-2024,,,,544
609104,147837,2222,2.20022E+12,3205,291,3252,685,1,0,14-10-2024,,,,544
609219,148037,2222,2.20022E+12,3207,293,3259,691,1,0,14-10-2024,,,,544
609415,161907,2222,4.40022E+12,3205,291,3252,700,1,0,14-10-2024,,,,544
609431,148337,2222,4.40022E+12,3202,288,3238,694,1,0,14-10-2024,,,,544
609439,161390,2222,2.20022E+12,3208,294,3264,698,1,0,14-10-2024,,,,544
609476,151847,2222,4.40022E+12,3212,298,3276,687,1,0,14-10-2024,,,,544
609491,152383,2222,4.40022E+12,3205,291,3252,682,1,0,14-10-2024,,,,544
609494,158835,2222,2.20022E+12,3202,288,3238,710,1,0,14-10-2024,,,,544
609525,160237,2222,4.40022E+12,3206,292,3257,689,1,0,15-10-2024,,,,544
609560,150126,2222,2.20022E+12,3212,298,3276,709,1,0,15-10-2024,,,,544
609668,162241,2222,2.20022E+12,3205,291,3252,682,1,0,15-10-2024,,,,544
609929,156044,2222,4.40022E+12,3206,292,3257,683,1,0,15-10-2024,,,,544
725258,162511,2222,2.20023E+12,3197,283,3215,683,1,0,10-11-2024,,,,544
725275,157412,2222,2.20023E+12,3205,291,3252,690,1,0,10-11-2024,,,,544
725303,151462,2222,4.40023E+12,3205,291,3252,688,1,0,10-11-2024,,,,544
725341,151915,2222,4.40023E+12,3213,299,3279,691,1,0,10-11-2024,,,,544
725380,152300,2222,4.40023E+12,3206,292,3257,696,1,0,10-11-2024,,,,544
725424,149156,2222,4.40023E+12,3197,283,3215,694,1,0,10-11-2024,,,,544
725436,149156,2222,4.40023E+12,3197,283,3215,694,1,0,10-11-2024,,,,544
725437,151847,2222,2.20023E+12,3212,298,3276,687,1,0,10-11-2024,,,,544
725445,160471,2222,2.20023E+12,3205,291,3252,688,1,0,10-11-2024,,,,544
725494,152113,2250,4.40023E+12,3212,298,3276,682,1,0,10-11-2024,,,,544
725555,154389,2222,4.40023E+12,3205,291,3252,700,1,0,10-11-2024,,,,544
725571,157097,2222,4.40023E+12,3197,283,3215,685,1,0,10-11-2024,,,,544
725588,150813,2222,2.20023E+12,3205,291,3252,686,1,0,10-11-2024,,,,544
725623,149507,2222,2.20023E+12,3194,280,3200,700,1,0,10-11-2024,,,,544
666924,154144,2222,4.40023E+12,3205,291,3252,693,1,0,21-10-2024,,,,544
667033,148764,2222,2.20023E+12,3205,291,3252,682,1,0,21-10-2024,,,,544
667134,159377,2222,4.40023E+12,3205,291,3252,690,1,0,21-10-2024,,,,544
667364,154398,2222,4.40023E+12,3199,285,3221,698,1,0,21-10-2024,,,,544
667466,161918,2222,4.40023E+12,3213,299,3279,681,1,0,21-10-2024,,,,544
667564,149918,2222,2.20023E+12,3212,298,3276,690,1,0,21-10-2024,,,,544
669241,153325,3000,4.40023E+12,3194,280,3200,686,1,0,21-10-2024,,,,544
669410,149985,2222,4.40023E+12,3205,291,3252,682,1,0,21-10-2024,,,,544
669536,156437,2222,2.20023E+12,3199,285,3221,696,1,0,21-10-2024,,,,544
608957,159710,2222,2.20022E+12,3205,291,3252,690,1,0,14-10-2024,,,,544
609216,160546,2222,4.40022E+12,3208,294,3264,1062,1,0,14-10-2024,,,,544
609363,150853,2222,4.40022E+12,3212,298,3276,696,1,0,14-10-2024,,,,544
609367,161550,2222,2.20022E+12,3192,278,3193,946,1,0,14-10-2024,,,,544
609397,161332,2222,2.20022E+12,3194,280,3200,698,1,0,14-10-2024,,,,544
609426,155865,2222,4.40022E+12,3208,294,3264,695,1,0,14-10-2024,,,,544
609467,154462,2222,4.40022E+12,3205,291,3252,681,1,0,14-10-2024,,,,544
609504,156252,2222,2.20022E+12,3212,298,3276,706,1,0,14-10-2024,,,,544
609512,154447,2222,2.20022E+12,3201,287,3233,686,1,0,14-10-2024,,,,544
609733,161767,2222,2.20022E+12,3208,294,3264,706,1,0,15-10-2024,,,,544
610221,153544,2222,4.40022E+12,3208,294,3264,699,1,0,15-10-2024,,,,544
610422,155515,2222,4.40022E+12,3205,291,3252,690,1,0,15-10-2024,,,,544
845962,150736,2222,4.40024E+12,3205,291,3252,682,1,0,10-12-2024,,,,544
846047,155851,2222,2.20024E+12,3197,283,3215,694,1,0,10-12-2024,,,,544
846117,156987,2222,2.20024E+12,3213,299,3279,681,1,0,10-12-2024,,,,544
846221,159528,2222,2.20024E+12,3206,292,3257,683,1,0,10-12-2024,,,,544
846282,160531,2222,2.20024E+12,3208,294,3264,686,1,0,10-12-2024,,,,544
846324,160210,2222,4.40024E+12,3200,286,3230,684,1,0,10-12-2024,,,,544
846329,158724,2222,2.20024E+12,3205,291,3252,686,1,0,10-12-2024,,,,544
846398,158756,2222,2.20024E+12,3205,291,3252,690,1,0,10-12-2024,,,,544
846400,155166,2222,4.40024E+12,3194,280,3200,682,1,0,10-12-2024,,,,544
846404,155566,2222,4.40024E+12,3201,287,3233,688,1,0,10-12-2024,,,,544
846447,148177,4444,4.40024E+12,3208,294,3264,705,1,0,10-12-2024,,,,544
846479,152139,2222,2.20024E+12,3194,280,3200,686,1,0,10-12-2024,,,,544
846500,153612,2222,4.40024E+12,3208,294,3264,696,1,0,10-12-2024,,,,544
846555,148496,2222,2.20024E+12,3213,299,3279,696,1,0,10-12-2024,,,,544
846608,149517,2222,4.40024E+12,3206,292,3257,684,1,0,10-12-2024,,,,544
846674,148045,2222,2.20024E+12,3202,288,3238,681,1,0,10-12-2024,,,,544
846683,153529,6000,2.20024E+12,3205,291,3252,686,1,0,10-12-2024,,,,544
846697,158541,2222,2.20024E+12,3208,294,3264,696,1,0,10-12-2024,,,,544
846699,147560,2222,4.40024E+12,3205,291,3252,684,1,0,10-12-2024,,,,544
846707,151154,2222,2.20024E+12,3194,280,3200,686,1,0,10-12-2024,,,,544
846708,154429,2222,2.20024E+12,3194,280,3200,693,1,0,10-12-2024,,,,544
846716,148063,2222,2.20024E+12,3208,294,3264,697,1,0,10-12-2024,,,,544
846742,159010,2223,2.20024E+12,3205,291,3252,700,1,0,10-12-2024,,,,544
846753,151571,2222,4.40024E+12,3194,280,3200,683,1,0,10-12-2024,,,,544
846760,161831,2222,2.20024E+12,3213,299,3279,694,1,0,10-12-2024,,,,544
846765,152258,2250,2.20024E+12,3205,291,3252,690,1,0,10-12-2024,,,,544
846780,156252,2222,4.40024E+12,3212,298,3276,706,1,0,10-12-2024,,,,544
846791,152340,2222,2.20024E+12,3197,283,3215,696,1,0,10-12-2024,,,,544
846796,154866,2222,4.40024E+12,3202,288,3238,689,1,0,10-12-2024,,,,544
846818,150821,2222,2.20024E+12,3194,280,3200,683,1,0,10-12-2024,,,,544
846839,161899,2222,4.40024E+12,3208,294,3264,688,1,0,10-12-2024,,,,544
846842,158073,2222,4.40024E+12,3208,294,3264,703,1,0,10-12-2024,,,,544
846855,148478,1944,2.20024E+12,3202,288,3238,711,1,0,10-12-2024,,,,544
846897,151990,2222,2.20024E+12,3212,298,3276,706,1,0,10-12-2024,,,,544
846908,149635,2222,2.20024E+12,3201,287,3233,684,1,0,10-12-2024,,,,544
846917,148981,2222,2.20024E+12,3205,291,3252,682,1,0,10-12-2024,,,,544
708508,156534,2222,2.20023E+12,3192,278,3193,935,1,0,30-10-2024,,,,544
708653,148445,2222,4.40023E+12,3205,291,3252,695,1,0,30-10-2024,,,,544
708667,160763,2222,2.20023E+12,3194,280,3200,681,1,0,30-10-2024,,,,544
708856,149332,2222,2.20023E+12,3200,286,3230,688,1,0,30-10-2024,,,,544
708861,160682,2222,2.20023E+12,3205,291,3252,685,1,0,30-10-2024,,,,544
708864,151389,2222,4.40023E+12,3194,280,3200,688,1,0,30-10-2024,,,,544
708889,158741,2222,4.40023E+12,3199,285,3221,690,1,0,30-10-2024,,,,544
708899,156852,2222,4.40023E+12,3202,288,3238,703,1,0,31-10-2024,,,,544
