AssetId,AssetName,AssetSize,Unit,BranchId,DistrictId,CityId,SectorId,IsActive,IsDeleted,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,CompanyId
148725,JG24.2_E-128,30,Sq. Yards,3194,280,3200,685,1,0,,1,,,544
149672,SSPIII20_E-850,30,Sq. Yards,3202,288,3238,704,1,0,,1,,,544
150372,RW18.2-3315,30,Sq. Yards,3208,294,3264,704,1,0,,1,,,544
150599,JR6_E-150,30,Sq. Yards,3206,292,3257,688,1,0,,1,,,544
150899,MG9.10.3_E-107,30,Sq. Yards,3207,293,3259,693,1,0,,1,,,544
152401,RW18.2-2820,30,Sq. Yards,3208,294,3264,686,1,0,,1,,,544
152637,RW18.2-2839,30,Sq. Yards,3208,294,3264,685,1,0,,1,,,544
153107,JG22.2_E-482,30,Sq. Yards,3194,280,3200,695,1,0,,1,,,544
155386,JG22.2_E-642,30,Sq. Yards,3194,280,3200,685,1,0,,1,,,544
156222,RW36A_E-145,30,Sq. Yards,3205,291,3252,683,1,0,,1,,,544
156856,SSPIII20_E-620,30,Sq. Yards,3202,288,3238,707,1,0,,1,,,544
157490,CD1B_E-24,30,Sq. Yards,3213,299,3279,690,1,0,,1,,,544
158262,JG22.2_E-115,30,Sq. Yards,3194,280,3200,682,1,0,,1,,,544
158594,GO16_E-307,30,Sq. Yards,3199,285,3221,689,1,0,,1,,,544
158828,RW18.2-2089,30,Sq. Yards,3208,294,3264,683,1,0,,1,,,544
159362,GO13.14_248,30,Sq. Yards,3199,285,3221,692,1,0,,1,,,544
159521,RW27.28.26PII_E-1124,30,Sq. Yards,3205,291,3252,700,1,0,,1,,,544
160098,PJ28.3_E-91,30,Sq. Yards,3192,278,3193,962,1,0,,1,,,544
160159,RW18.2-2126,30,Sq. Yards,3208,294,3264,708,1,0,,1,,,544
160557,PW21_181,30,Sq. Yards,3212,298,3276,694,1,0,,1,,,544
162036,PW21_950,30,Sq. Yards,3212,298,3276,686,1,0,,1,,,544
147495,RK21.2_E-186,30,Sq. Yards,3205,291,3252,686,1,0,,1,,,544
147946,RW18.2-2005,30,Sq. Yards,3208,294,3264,681,1,0,,1,,,544
148164,RW18.1_E-56,30,Sq. Yards,3208,294,3264,705,1,0,,1,,,544
149967,MG9.10.3_E-135,30,Sq. Yards,3207,293,3259,686,1,0,,1,,,544
150368,RW18.2-2841,30,Sq. Yards,3208,294,3264,710,1,0,,1,,,544
150704,JR9PII_E-79,30,Sq. Yards,3206,292,3257,695,1,0,,1,,,544
150836,RW27.28.26PII_E-1266,30,Sq. Yards,3205,291,3252,702,1,0,,1,,,544
152539,RW18.2-2066,30,Sq. Yards,3208,294,3264,707,1,0,,1,,,544
153644,JG23_2137,30,Sq. Yards,3194,280,3200,696,1,0,,1,,,544
154547,SSPIII20_E-752,30,Sq. Yards,3202,288,3238,701,1,0,,1,,,544
155315,PWAP_E-431,30,Sq. Yards,3212,298,3276,921,1,0,,1,,,544
155798,FD9_E-102,30,Sq. Yards,3201,287,3233,693,1,0,,1,,,544
157055,MG9.10.2_E-35,30,Sq. Yards,3207,293,3259,688,1,0,,1,,,544
157205,RW27.28.26PII_E-774,30,Sq. Yards,3205,291,3252,687,1,0,,1,,,544
158124,GO16_E-109,30,Sq. Yards,3199,285,3221,697,1,0,,1,,,544
159527,RW18.2-2547,30,Sq. Yards,3208,294,3264,696,1,0,,1,,,544
160946,CD9_E-417,30,Sq. Yards,3213,299,3279,697,1,0,,1,,,544
161249,JR9_E-55,30,Sq. Yards,3206,292,3257,695,1,0,,1,,,544
161599,RW18.1_E-60,30,Sq. Yards,3208,294,3264,704,1,0,,1,,,544
162536,GO16_E-244,30,Sq. Yards,3199,285,3221,686,1,0,,1,,,544
162585,SD8_E-186,30,Sq. Yards,3200,286,3230,694,1,0,,1,,,544
147572,PWAP_E-356,30,Sq. Yards,3212,298,3276,774,1,0,,1,,,544
149137,GO16_E-287,30,Sq. Yards,3199,285,3221,695,1,0,,1,,,544
150373,RW27.28.26PII_E-1082,30,Sq. Yards,3205,291,3252,700,1,0,,1,,,544
150755,PWAP_E-9,30,Sq. Yards,3212,298,3276,710,1,0,,1,,,544
150959,CD9_E-450,30,Sq. Yards,3213,299,3279,692,1,0,,1,,,544
152027,JG22.2_E-229,30,Sq. Yards,3194,280,3200,686,1,0,,1,,,544
153313,RW36A_E-135,30,Sq. Yards,3205,291,3252,699,1,0,,1,,,544
153538,GO16_E-179,30,Sq. Yards,3199,285,3221,682,1,0,,1,,,544
153842,PW21_281,30,Sq. Yards,3212,298,3276,683,1,0,,1,,,544
153931,RK21.2_E-286,30,Sq. Yards,3205,291,3252,686,1,0,,1,,,544
155110,SSPIII20_E-113,30,Sq. Yards,3202,288,3238,863,1,0,,1,,,544
156014,PWAP_E-409,30,Sq. Yards,3212,298,3276,705,1,0,,1,,,544
